# file Status  time cplex  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -            -          -          -                1                -
2       Infeasible  -            -          -          -                1                -
3       Infeasible  -            -          -          -                1                -
4       -           -            -          -          -                1                -
50 14   -           908.56       0.02       258        -                -                0
50 15   -           911.17       0.05       364        -                -                0
50 2    -           0.06         0.01       14         14               -                0
50 3    -           0.56         0.01       38         38               -                0
50 4    -           1.33         0.01       60         60               -                0
50 5    -           11.38        0.01       86         86               -                0
50 6    -           16.79        0.02       104        104              -                0
50 7    -           106.82       0.02       112        112              -                0
50 8    -           111.52       0.02       135        135              -                0
50 9    -           61.00        0.02       155        155              -                0
